comments,during_time,language,location,rate,star,title,types
2370,119, 英语," 英国 , 挪威 , 加拿大 , 美国 , 法国 , 德国",6.7,35,冷血追击,"剧情,动作,惊悚,犯罪"
1193,, 日语, 日本,6.2,30,世界奇妙物语 2019雨之特别篇,"剧情,奇幻"
669,88, 英语," 加拿大 , 挪威 , 美国",5.5,30,拍栗得,"剧情,惊悚,恐怖"
341,90," 汉语普通话 , 粤语"," 中国大陆 , 香港",3.7,20,潜行者,"喜剧,动作,爱情,犯罪"
801,120, 韩语, 韩国,7.5,40,生日,剧情
513,114, 韩语, 韩国,7.5,40,陪审员,剧情
631,103, 汉语普通话, 中国大陆,6.8,35,周恩来回延安,"剧情,历史"
4384,92, 粤语," 中国大陆 , 香港",5.9,30,家和万事惊,"喜剧,家庭"
1354,101, 汉语普通话, 中国大陆,6.9,35,陈翔六点半之重楼别,"喜剧,爱情,戏曲"
1473,124, 英语, 爱尔兰,7.7,40,教授与疯子,"剧情,传记"
641,108, 英语," 英国 , 美国 , 德国",6.4,30,余波,"剧情,爱情,战争"
763,120, 汉语普通话, 中国大陆,4.2,20,八子,"动作,历史,战争"
4377,82, 汉语普通话, 中国大陆,3.5,20,双生,"爱情,悬疑"
356,119," 英语 , 俄语"," 法国 , 美国",7.6,40,安娜,"动作,惊悚"
1065,92, 英语," 芬兰 , 德国",5.0,25,钢铁苍穹2：即临种族,"喜剧,动作,科幻"
354,116, 英语, 英国,6.5,35,昨日奇迹,"喜剧,音乐,奇幻"
1886,132, 英语, 美国,7.3,35,劫匪,"剧情,悬疑,惊悚,犯罪"
3007,92, 英语," 英国 , 美国",7.7,40,脱欧：无理之战,剧情
83,97, 汉语普通话, 中国大陆,,0,猪八戒·传说,"喜剧,奇幻"
204,, 英语, 美国,,0,星球大战9：天行者崛起,"动作,科幻,冒险"
455,98, 越南语, 越南,6.1,30,二凤,"剧情,动作"
136,90, 粤语, 香港,4.7,25,如珠如宝的人生,"剧情,喜剧,动作"
5453,81," 汉语普通话 , 英语"," 中国大陆 , 英国",3.9,20,小猪佩奇过大年,"动画,歌舞,家庭,儿童"
